customer_id,response
CS1112,0
CS1113,0
CS1114,1
CS1115,1
CS1116,1
CS1117,0
CS1118,1
CS1119,0
CS1120,0
CS1121,0
CS1122,0
CS1123,0
CS1124,0
CS1125,0
CS1126,0
CS1127,0
CS1128,0
CS1129,0
CS1130,0
CS1131,0
CS1132,0
CS1133,0
CS1134,0
CS1135,1
CS1136,0
CS1137,0
CS1138,0
CS1139,0
CS1140,0
CS1141,1
CS1142,1
CS1143,1
CS1144,0
CS1145,1
CS1146,0
CS1147,0
CS1148,1
CS1149,0
CS1150,0
CS1151,0
CS1152,0
CS1153,0
CS1154,0
CS1155,0
CS1156,0
CS1157,0
CS1158,0
CS1159,0
CS1160,1
CS1161,0
CS1162,0
CS1163,0
CS1164,0
CS1165,0
CS1166,0
CS1167,1
CS1168,0
CS1169,0
CS1170,0
CS1171,0
CS1172,1
CS1173,1
CS1174,0
CS1175,0
CS1176,0
CS1177,0
CS1178,0
CS1179,0
CS1180,0
CS1181,0
CS1182,1
CS1183,0
CS1184,0
CS1185,0
CS1186,0
CS1187,0
CS1188,0
CS1189,0
CS1190,0
CS1191,1
CS1192,0
CS1193,0
CS1194,0
CS1195,0
CS1196,0
CS1197,0
CS1198,0
CS1199,0
CS1200,0
CS1201,0
CS1202,0
CS1203,1
CS1204,0
CS1205,0
CS1206,0
CS1207,0
CS1208,0
CS1209,0
CS1210,0
CS1211,0
CS1212,0
CS1213,0
CS1214,0
CS1215,0
CS1216,0
CS1217,0
CS1218,0
CS1219,0
CS1220,0
CS1221,0
CS1222,0
CS1223,0
CS1224,0
CS1225,0
CS1226,0
CS1227,0
CS1228,0
CS1229,0
CS1230,0
CS1231,0
CS1232,0
CS1233,1
CS1234,0
CS1235,1
CS1236,0
CS1237,0
CS1238,0
CS1239,0
CS1240,0
CS1241,0
CS1242,0
CS1243,0
CS1244,0
CS1245,0
CS1246,0
CS1247,1
CS1248,0
CS1249,0
CS1250,0
CS1251,0
CS1252,0
CS1253,1
CS1254,0
CS1255,0
CS1256,0
CS1257,0
CS1258,0
CS1259,1
CS1260,0
CS1261,0
CS1262,0
CS1263,0
CS1264,0
CS1265,0
CS1266,0
CS1267,0
CS1268,0
CS1269,0
CS1270,0
CS1271,0
CS1272,0
CS1273,0
CS1274,0
CS1275,0
CS1276,0
CS1277,0
CS1278,0
CS1279,0
CS1280,0
CS1281,0
CS1282,0
CS1283,0
CS1284,0
CS1285,0
CS1286,1
CS1287,0
CS1288,0
CS1289,0
CS1290,0
CS1291,0
CS1292,0
CS1293,1
CS1294,0
CS1295,0
CS1296,0
CS1297,0
CS1298,0
CS1299,1
CS1300,0
CS1301,0
CS1302,0
CS1303,1
CS1304,0
CS1305,0
CS1306,0
CS1307,0
CS1308,0
CS1309,0
CS1310,1
CS1311,0
CS1312,1
CS1313,0
CS1314,0
CS1315,0
CS1316,0
CS1317,0
CS1318,0
CS1319,0
CS1320,0
CS1321,0
CS1322,0
CS1323,0
CS1324,1
CS1325,0
CS1326,0
CS1327,0
CS1328,0
CS1329,0
CS1330,0
CS1331,0
CS1332,0
CS1333,0
CS1334,0
CS1335,0
CS1336,0
CS1337,0
CS1338,0
CS1339,0
CS1340,0
CS1341,0
CS1342,0
CS1343,0
CS1344,1
CS1345,0
CS1346,0
CS1347,0
CS1348,0
CS1349,0
CS1350,1
CS1351,0
CS1352,0
CS1353,0
CS1354,0
CS1355,1
CS1356,0
CS1357,0
CS1358,0
CS1359,0
CS1360,0
CS1361,0
CS1362,0
CS1363,0
CS1364,0
CS1365,0
CS1366,0
CS1367,0
CS1368,0
CS1369,0
CS1370,1
CS1371,0
CS1372,1
CS1373,0
CS1374,0
CS1375,0
CS1376,0
CS1377,0
CS1378,0
CS1379,0
CS1380,0
CS1381,0
CS1382,0
CS1383,0
CS1384,0
CS1385,1
CS1386,0
CS1387,0
CS1388,0
CS1389,0
CS1390,0
CS1391,0
CS1392,0
CS1393,1
CS1394,0
CS1395,0
CS1396,0
CS1397,0
CS1398,1
CS1399,1
CS1400,1
CS1401,0
CS1402,0
CS1403,1
CS1404,0
CS1405,0
CS1406,0
CS1407,1
CS1408,0
CS1409,0
CS1410,0
CS1411,0
CS1412,1
CS1413,0
CS1414,0
CS1415,0
CS1416,0
CS1417,0
CS1418,0
CS1419,0
CS1420,1
CS1421,0
CS1422,0
CS1423,0
CS1424,0
CS1425,0
CS1426,0
CS1427,0
CS1428,1
CS1429,0
CS1430,0
CS1431,0
CS1432,0
CS1433,0
CS1434,0
CS1435,0
CS1436,0
CS1437,0
CS1438,0
CS1439,0
CS1440,0
CS1441,0
CS1442,0
CS1443,1
CS1444,0
CS1445,0
CS1446,0
CS1447,0
CS1448,0
CS1449,0
CS1450,0
CS1451,0
CS1452,0
CS1453,0
CS1454,0
CS1455,0
CS1456,0
CS1457,0
CS1458,0
CS1459,1
CS1460,0
CS1461,0
CS1462,1
CS1463,0
CS1464,0
CS1465,0
CS1466,0
CS1467,0
CS1468,0
CS1469,0
CS1470,0
CS1471,0
CS1472,0
CS1473,1
CS1474,0
